Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/10/2021
Graph title  : Title
Points       : 300
Pen legend   : 1:59:58 PM
Resonance    : F1:3.00788156e+005 F2:2.55874281e+005 Fr:2.74237563e+005 Zr:9.54785080e+001 Q:6.10585398e+000
Capacitance  : 4.02450842e-009 F at 1.75447461e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.16589813e+001, 1.93577181e-002, -8.57994385e+001, 3.78391558e+000, -5.15202129e+001, 1.41791358e-003, 1.93057187e-002
9.77161875e+005, 5.28350792e+001, 1.89268194e-002, -8.57231369e+001, 3.94023110e+000, -5.26879509e+001, 1.41148728e-003, 1.88741144e-002
9.54845500e+005, 5.40379601e+001, 1.85055098e-002, -8.56465912e+001, 4.10192589e+000, -5.38820502e+001, 1.40472049e-003, 1.84521179e-002
9.33038625e+005, 5.56248398e+001, 1.79775799e-002, -8.57455597e+001, 4.12657184e+000, -5.54715621e+001, 1.33368069e-003, 1.79280416e-002
9.11729875e+005, 5.67085609e+001, 1.76340218e-002, -8.55805969e+001, 4.36977305e+000, -5.65399502e+001, 1.35881906e-003, 1.75815908e-002
8.90907750e+005, 5.83738708e+001, 1.71309523e-002, -8.59427490e+001, 4.13013949e+000, -5.82275772e+001, 1.21207009e-003, 1.70880196e-002
8.70561188e+005, 6.04757996e+001, 1.65355400e-002, -8.57333603e+001, 4.49928496e+000, -6.03081982e+001, 1.23021286e-003, 1.64897137e-002
8.50679250e+005, 6.20518608e+001, 1.61155522e-002, -8.51282272e+001, 5.26981975e+000, -6.18276834e+001, 1.36863027e-003, 1.60573308e-002
8.31251375e+005, 6.40798187e+001, 1.56055373e-002, -8.39955292e+001, 6.70313775e+000, -6.37282599e+001, 1.63243386e-003, 1.55199212e-002
8.12267250e+005, 6.34645691e+001, 1.57568233e-002, -8.22034225e+001, 8.60937435e+000, -6.28778992e+001, 2.13751377e-003, 1.56111664e-002
7.93716688e+005, 6.20518608e+001, 1.61155522e-002, -8.42343369e+001, 6.23373340e+000, -6.17379462e+001, 1.61896927e-003, 1.60340251e-002
